batch_song_id	canonical_song_title_candidate	confidence	evidence_text	master_song_id	promotion_status	raw_track_title	release_candidate_id	release_title	review_status	side	source_id	source_name	source_reference	source_url	track_number
SRC0002-B0005-SONG011	Feliz Nochebuena	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='1', raw_track='Feliz Nochebuena'		NEW	Feliz Nochebuena	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	1
SRC0002-B0005-SONG012	Bella es la Navidad	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='2', raw_track='Bella es la Navidad'		NEW	Bella es la Navidad	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	2
SRC0002-B0005-SONG013	En la Nochebuena	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='3', raw_track='En la Nochebuena'		NEW	En la Nochebuena	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	3
SRC0002-B0005-SONG014	Ron de Vinola	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='4', raw_track='Ron de Vinola'		NEW	Ron de Vinola	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	4
SRC0002-B0005-SONG015	El Hijo Ausente	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='5', raw_track='El Hijo Ausente'		NEW	El Hijo Ausente	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	5
SRC0002-B0005-SONG016	Maldita Navidad	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='6', raw_track='Maldita Navidad'		NEW	Maldita Navidad	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	6
SRC0002-B0005-SONG017	El Pesebre	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='7', raw_track='El Pesebre'		NEW	El Pesebre	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	7
SRC0002-B0005-SONG018	Aires de Navidad	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='8', raw_track='Aires de Navidad'		NEW	Aires de Navidad	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	8
SRC0002-B0005-SONG019	Grito Vagabundo	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='9', raw_track='Grito Vagabundo'	SONG004202	MATCH_EXISTING	Grito Vagabundo	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	9
SRC0002-B0005-SONG020	Pascua en Navidad	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='10', raw_track='Pascua en Navidad'		NEW	Pascua en Navidad	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	10
SRC0002-B0005-SONG021	Niño del Alma Mía	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='1', raw_track='Niño del Alma Mía'		NEW	Niño del Alma Mía	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	1
SRC0002-B0005-SONG022	Feliz Navidad	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='2', raw_track='Feliz Navidad'		NEW	Feliz Navidad	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	2
SRC0002-B0005-SONG023	Tutaina	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='3', raw_track='Tutaina'		NEW	Tutaina	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	3
SRC0002-B0005-SONG024	Salve Reina y Madre	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='4', raw_track='Salve Reina y Madre'		NEW	Salve Reina y Madre	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	4
SRC0002-B0005-SONG025	Zagalillo	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='5', raw_track='Zagalillo'		NEW	Zagalillo	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	5
SRC0002-B0005-SONG026	Antón	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='6', raw_track='Antón'		NEW	Antón	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	6
SRC0002-B0005-SONG027	La Nanita Nana	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='7', raw_track='La Nanita Nana'		NEW	La Nanita Nana	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	7
SRC0002-B0005-SONG028	Vamos Vamos Pastorcitos	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='8', raw_track='Vamos Vamos Pastorcitos'		NEW	Vamos Vamos Pastorcitos	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	8
SRC0002-B0005-SONG029	El Burrito de Belén	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='9', raw_track='El Burrito de Belén'		NEW	El Burrito de Belén	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	9
SRC0002-B0005-SONG030	Dónde Están Mis Juguetes	high	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='10', raw_track='Dónde Están Mis Juguetes'		NEW	Dónde Están Mis Juguetes	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	10
SRC0002-B0005-SONG031	Solo Un Cigarro	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='1', raw_track='Solo Un Cigarro'		NEW	Solo Un Cigarro	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	1
SRC0002-B0005-SONG032	Tempestad	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='2', raw_track='Tempestad'		NEW	Tempestad	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	2
SRC0002-B0005-SONG033	Traicionera	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='3', raw_track='Traicionera'	SONG003788	MATCH_EXISTING	Traicionera	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	3
SRC0002-B0005-SONG034	El Hijo Ausente	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='4', raw_track='El Hijo Ausente'		NEW	El Hijo Ausente	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	4
SRC0002-B0005-SONG035	Golpe con Golpe	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='5', raw_track='Golpe con Golpe'		NEW	Golpe con Golpe	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	5
SRC0002-B0005-SONG036	Fue Por Una Cerveza	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='6', raw_track='Fue Por Una Cerveza'		NEW	Fue Por Una Cerveza	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	6
SRC0002-B0005-SONG037	Añoranza Febril	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='7', raw_track='Añoranza Febril'		NEW	Añoranza Febril	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	7
SRC0002-B0005-SONG038	Brisas del Valle	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='8', raw_track='Brisas del Valle'		NEW	Brisas del Valle	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	8
SRC0002-B0005-SONG039	Cállate Corazón	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='9', raw_track='Cállate Corazón'		NEW	Cállate Corazón	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	9
SRC0002-B0005-SONG040	El Ausente	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='10', raw_track='El Ausente'	SONG001044	MATCH_EXISTING	El Ausente	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	10
SRC0002-B0005-SONG041	Los Sabanales	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='1', raw_track='Los Sabanales'	SONG004247	MATCH_EXISTING	Los Sabanales	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	1
SRC0002-B0005-SONG042	La Yerbita	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='2', raw_track='La Yerbita'	SONG004229	MATCH_EXISTING	La Yerbita	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	2
SRC0002-B0005-SONG043	No Me Busques	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='3', raw_track='No Me Busques'	SONG004230	MATCH_EXISTING	No Me Busques	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	3
SRC0002-B0005-SONG044	Suéltala Pa' Que Se Defienda	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='4', raw_track='Suéltala Pa' Que Se Defienda'	SONG004231	MATCH_EXISTING	Suéltala Pa' Que Se Defienda	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	4
SRC0002-B0005-SONG045	Tres Tigres	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='5', raw_track='Tres Tigres'	SONG004232	MATCH_EXISTING	Tres Tigres	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	5
SRC0002-B0005-SONG046	Cumbiamberita	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='6', raw_track='Cumbiamberita'	SONG004233	MATCH_EXISTING	Cumbiamberita	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	6
SRC0002-B0005-SONG047	Cumbia Saramuya	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='7', raw_track='Cumbia Saramuya'	SONG004234	MATCH_EXISTING	Cumbia Saramuya	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	7
SRC0002-B0005-SONG048	El Bailador	high	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='8', raw_track='El Bailador'	SONG004235	MATCH_EXISTING	El Bailador	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	8
